id,code,path,message,stack,timestamp,user_id,tenant_id
1,ERR-20250330-OSUFMS,/api/error_logs?search=,Something went wrong.,,2025-03-30T19:52:13.583Z,,
2,ERR-20250330-OSUFMS,/api/error_logs?search=,[ERR-20250330-OSUFMS] Something went wrong.,"Error: [ERR-20250330-OSUFMS] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx:38:19)",2025-03-30T19:52:13.612Z,,
3,ERR-20250330-XUYXXW,/api/error_logs?search=,Something went wrong.,,2025-03-30T19:54:00.132Z,,
4,ERR-20250330-XUYXXW,/api/error_logs?search=,[ERR-20250330-XUYXXW] Something went wrong.,"Error: [ERR-20250330-XUYXXW] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx:38:19)",2025-03-30T19:54:00.141Z,,
5,ERR-20250330-9BBJGG,/api/error_logs?search=,Something went wrong.,,2025-03-30T19:56:49.715Z,,
6,ERR-20250330-9BBJGG,/api/error_logs?search=,[ERR-20250330-9BBJGG] Something went wrong.,"Error: [ERR-20250330-9BBJGG] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743364579788:39:19)",2025-03-30T19:56:49.725Z,,
7,ERR-20250330-Z3GWUU,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:03:13.102Z,,
8,ERR-20250330-Z3GWUU,/api/error_logs?search=,[ERR-20250330-Z3GWUU] Something went wrong.,"Error: [ERR-20250330-Z3GWUU] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743364579788:39:19)",2025-03-30T20:03:13.114Z,,
9,ERR-20250330-1RFZMJ,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:11:28.213Z,,
10,ERR-20250330-1RFZMJ,/api/error_logs?search=,[ERR-20250330-1RFZMJ] Something went wrong.,"Error: [ERR-20250330-1RFZMJ] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx:39:19)",2025-03-30T20:11:28.235Z,,
11,ERR-20250330-ZJ4LA3,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:11:30.690Z,,
12,ERR-20250330-ZJ4LA3,/api/error_logs?search=,[ERR-20250330-ZJ4LA3] Something went wrong.,"Error: [ERR-20250330-ZJ4LA3] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx:39:19)",2025-03-30T20:11:30.701Z,,
13,ERR-20250330-M40ECD,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:11:32.367Z,,
14,ERR-20250330-M40ECD,/api/error_logs?search=,[ERR-20250330-M40ECD] Something went wrong.,"Error: [ERR-20250330-M40ECD] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx:39:19)",2025-03-30T20:11:32.382Z,,
15,ERR-20250330-9FMEP8,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:12:35.835Z,,
16,ERR-20250330-9FMEP8,/api/error_logs?search=,[ERR-20250330-9FMEP8] Something went wrong.,"Error: [ERR-20250330-9FMEP8] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365545070:39:19)",2025-03-30T20:12:35.845Z,,
17,ERR-20250330-MS459P,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:14:38.111Z,,
18,ERR-20250330-MS459P,/api/error_logs?search=,[ERR-20250330-MS459P] Something went wrong.,"Error: [ERR-20250330-MS459P] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365677715:39:19)",2025-03-30T20:14:38.123Z,,
19,ERR-20250330-XWZ3Y6,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:29.157Z,,
20,ERR-20250330-XWZ3Y6,/api/error_logs?search=,[ERR-20250330-XWZ3Y6] Something went wrong.,"Error: [ERR-20250330-XWZ3Y6] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365729091:40:19)",2025-03-30T20:15:29.168Z,,
21,ERR-20250330-NKWHGH,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:29.393Z,,
22,ERR-20250330-NKWHGH,/api/error_logs?search=,[ERR-20250330-NKWHGH] Something went wrong.,"Error: [ERR-20250330-NKWHGH] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365729292:40:19)",2025-03-30T20:15:29.402Z,,
23,ERR-20250330-GYW7LJ,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:31.537Z,,
24,ERR-20250330-GYW7LJ,/api/error_logs?search=,[ERR-20250330-GYW7LJ] Something went wrong.,"Error: [ERR-20250330-GYW7LJ] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365731448:40:19)",2025-03-30T20:15:31.550Z,,
25,ERR-20250330-EWAI97,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:52.925Z,,
26,ERR-20250330-EWAI97,/api/error_logs?search=,[ERR-20250330-EWAI97] Something went wrong.,"Error: [ERR-20250330-EWAI97] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365752823:40:19)",2025-03-30T20:15:52.936Z,,
27,ERR-20250330-AMENUH,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:53.286Z,,
28,ERR-20250330-AMENUH,/api/error_logs?search=,[ERR-20250330-AMENUH] Something went wrong.,"Error: [ERR-20250330-AMENUH] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365753177:40:19)",2025-03-30T20:15:53.294Z,,
29,ERR-20250330-TUX3MR,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:53.505Z,,
30,ERR-20250330-TUX3MR,/api/error_logs?search=,[ERR-20250330-TUX3MR] Something went wrong.,"Error: [ERR-20250330-TUX3MR] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365753407:40:19)",2025-03-30T20:15:53.512Z,,
31,ERR-20250330-77I5UY,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:53.739Z,,
32,ERR-20250330-77I5UY,/api/error_logs?search=,[ERR-20250330-77I5UY] Something went wrong.,"Error: [ERR-20250330-77I5UY] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365753641:40:19)",2025-03-30T20:15:53.757Z,,
33,ERR-20250330-U2IPE0,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:15:53.994Z,,
34,ERR-20250330-U2IPE0,/api/error_logs?search=,[ERR-20250330-U2IPE0] Something went wrong.,"Error: [ERR-20250330-U2IPE0] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365753869:40:19)",2025-03-30T20:15:54.011Z,,
35,ERR-20250330-8BTKTW,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:03.063Z,,
36,ERR-20250330-8BTKTW,/api/error_logs?search=,[ERR-20250330-8BTKTW] Something went wrong.,"Error: [ERR-20250330-8BTKTW] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365762893:40:19)",2025-03-30T20:16:03.076Z,,
37,ERR-20250330-O0FA08,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:03.180Z,,
38,ERR-20250330-O0FA08,/api/error_logs?search=,[ERR-20250330-O0FA08] Something went wrong.,"Error: [ERR-20250330-O0FA08] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365763076:40:19)",2025-03-30T20:16:03.187Z,,
39,ERR-20250330-5B73MA,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:03.370Z,,
40,ERR-20250330-5B73MA,/api/error_logs?search=,[ERR-20250330-5B73MA] Something went wrong.,"Error: [ERR-20250330-5B73MA] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365763259:40:19)",2025-03-30T20:16:03.385Z,,
41,ERR-20250330-L75SJY,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:03.510Z,,
42,ERR-20250330-L75SJY,/api/error_logs?search=,[ERR-20250330-L75SJY] Something went wrong.,"Error: [ERR-20250330-L75SJY] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365763393:40:19)",2025-03-30T20:16:03.522Z,,
43,ERR-20250330-Z8YQ50,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:03.774Z,,
44,ERR-20250330-Z8YQ50,/api/error_logs?search=,[ERR-20250330-Z8YQ50] Something went wrong.,"Error: [ERR-20250330-Z8YQ50] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365763658:40:19)",2025-03-30T20:16:03.786Z,,
45,ERR-20250330-MAGEYN,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:04.072Z,,
46,ERR-20250330-MAGEYN,/api/error_logs?search=,[ERR-20250330-MAGEYN] Something went wrong.,"Error: [ERR-20250330-MAGEYN] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365763976:40:19)",2025-03-30T20:16:04.082Z,,
47,ERR-20250330-WQGLI0,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:04.396Z,,
48,ERR-20250330-WQGLI0,/api/error_logs?search=,[ERR-20250330-WQGLI0] Something went wrong.,"Error: [ERR-20250330-WQGLI0] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365764293:40:19)",2025-03-30T20:16:04.410Z,,
49,ERR-20250330-PDL6KI,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:04.504Z,,
50,ERR-20250330-PDL6KI,/api/error_logs?search=,[ERR-20250330-PDL6KI] Something went wrong.,"Error: [ERR-20250330-PDL6KI] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365764401:40:19)",2025-03-30T20:16:04.515Z,,
51,ERR-20250330-8ZWRQV,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:04.790Z,,
52,ERR-20250330-8ZWRQV,/api/error_logs?search=,[ERR-20250330-8ZWRQV] Something went wrong.,"Error: [ERR-20250330-8ZWRQV] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365764689:40:19)",2025-03-30T20:16:04.808Z,,
53,ERR-20250330-YC0I0L,/api/error_logs?search=,Something went wrong.,,2025-03-30T20:16:10.420Z,,
54,ERR-20250330-YC0I0L,/api/error_logs?search=,[ERR-20250330-YC0I0L] Something went wrong.,"Error: [ERR-20250330-YC0I0L] Something went wrong.
    at apiFetch (http://localhost:5173/src/utils/api.js:58:10)
    at async fetchLogs (http://localhost:5173/src/backoffice/views/root/ErrorLogs.jsx?t=1743365770315:39:19)",2025-03-30T20:16:10.430Z,,
55,ERR-20250330-9737,/api/edit_delivery,Fetch error: 500,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,1,1
56,ERR-20250330-6355,/api/edit_user,Database constraint failed,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
57,ERR-20250330-5914,/api/edit_user,Null reference exception,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,1,1
58,ERR-20250330-9901,/api/edit_delivery,Unexpected token in JSON,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,2,1
59,ERR-20250330-7479,/api/inventory,Unexpected token in JSON,at /api/inventory (app.js:123:45),2025-03-30 21:36:09,2,1
60,ERR-20250330-4725,/api/edit_user,Unexpected token in JSON,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
61,ERR-20250330-2831,/api/edit_user,Unexpected token in JSON,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
62,ERR-20250330-5226,/api/products_by_category,Cannot read properties of undefined,at /api/products_by_category (app.js:123:45),2025-03-30 21:36:09,2,1
63,ERR-20250330-4223,/api/vendors,Unexpected token in JSON,at /api/vendors (app.js:123:45),2025-03-30 21:36:09,2,1
64,ERR-20250330-4699,/api/edit_user,Null reference exception,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
65,ERR-20250330-7655,/api/vendors,Null reference exception,at /api/vendors (app.js:123:45),2025-03-30 21:36:09,2,1
66,ERR-20250330-9151,/api/generate_purchase_order,Fetch error: 500,at /api/generate_purchase_order (app.js:123:45),2025-03-30 21:36:09,2,1
67,ERR-20250330-7374,/api/edit_delivery,Null reference exception,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,1,1
68,ERR-20250330-2684,/api/edit_user,Fetch error: 500,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
69,ERR-20250330-2829,/api/edit_delivery,Null reference exception,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,1,1
70,ERR-20250330-9852,/api/products_by_category,Unexpected token in JSON,at /api/products_by_category (app.js:123:45),2025-03-30 21:36:09,1,1
71,ERR-20250330-8152,/api/edit_user,Null reference exception,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,1,1
72,ERR-20250330-7956,/api/edit_delivery,Null reference exception,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,2,1
73,ERR-20250330-1852,/api/inventory,Unexpected token in JSON,at /api/inventory (app.js:123:45),2025-03-30 21:36:09,2,1
74,ERR-20250330-8744,/api/vendors,Null reference exception,at /api/vendors (app.js:123:45),2025-03-30 21:36:09,2,1
75,ERR-20250330-6472,/api/products_by_category,Cannot read properties of undefined,at /api/products_by_category (app.js:123:45),2025-03-30 21:36:09,2,1
76,ERR-20250330-5470,/api/vendors,Database constraint failed,at /api/vendors (app.js:123:45),2025-03-30 21:36:09,1,1
77,ERR-20250330-4516,/api/vendors,Fetch error: 500,at /api/vendors (app.js:123:45),2025-03-30 21:36:09,2,1
78,ERR-20250330-7173,/api/edit_user,Unexpected token in JSON,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
79,ERR-20250330-8448,/api/products_by_category,Database constraint failed,at /api/products_by_category (app.js:123:45),2025-03-30 21:36:09,2,1
80,ERR-20250330-4124,/api/edit_delivery,Null reference exception,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,1,1
81,ERR-20250330-5245,/api/inventory,Unexpected token in JSON,at /api/inventory (app.js:123:45),2025-03-30 21:36:09,2,1
82,ERR-20250330-5115,/api/inventory,Fetch error: 500,at /api/inventory (app.js:123:45),2025-03-30 21:36:09,2,1
83,ERR-20250330-2713,/api/login,Fetch error: 500,at /api/login (app.js:123:45),2025-03-30 21:36:09,2,1
84,ERR-20250330-2884,/api/products_by_category,Null reference exception,at /api/products_by_category (app.js:123:45),2025-03-30 21:36:09,2,1
85,ERR-20250330-3153,/api/login,Database constraint failed,at /api/login (app.js:123:45),2025-03-30 21:36:09,2,1
86,ERR-20250330-9221,/api/edit_user,Unexpected token in JSON,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,1,1
87,ERR-20250330-5301,/api/inventory,Fetch error: 500,at /api/inventory (app.js:123:45),2025-03-30 21:36:09,2,1
88,ERR-20250330-8260,/api/edit_user,Database constraint failed,at /api/edit_user (app.js:123:45),2025-03-30 21:36:09,2,1
89,ERR-20250330-3181,/api/products_by_category,Null reference exception,at /api/products_by_category (app.js:123:45),2025-03-30 21:36:09,2,1
90,ERR-20250330-8980,/api/edit_delivery,Database constraint failed,at /api/edit_delivery (app.js:123:45),2025-03-30 21:36:09,2,1
